[nltk_data] Downloading package stopwords to
[nltk_data]     C:\Users\monne\AppData\Roaming\nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
Le mot leave a 55 occurrence(s)
Le mot return a 54 occurrence(s)
Le mot counsel a 54 occurrence(s)
Le mot tent a 54 occurrence(s)
Le mot bade a 54 occurrence(s)
Le mot bear a 54 occurrence(s)
Le mot longer a 54 occurrence(s)
Le mot lie a 54 occurrence(s)
Le mot mind a 54 occurrence(s)
Le mot think a 54 occurrence(s)
Le mot darkness a 54 occurrence(s)
Le mot whole a 53 occurrence(s)
Le mot none a 53 occurrence(s)
Le mot point a 53 occurrence(s)
Le mot drove a 53 occurrence(s)
Le mot goodly a 53 occurrence(s)
Le mot sat a 52 occurrence(s)
Le mot foremost a 52 occurrence(s)
Le mot get a 52 occurrence(s)
Le mot child a 52 occurrence(s)
Le mot wind a 52 occurrence(s)
Le mot got a 51 occurrence(s)
Le mot look a 51 occurrence(s)
Le mot fly a 51 occurrence(s)
Le mot sorrow a 51 occurrence(s)
Le mot found a 51 occurrence(s)
Le mot little a 51 occurrence(s)
Le mot flew a 51 occurrence(s)
Le mot middle a 51 occurrence(s)
Le mot wound a 51 occurrence(s)
Le mot fury a 51 occurrence(s)
Le mot fought a 50 occurrence(s)
Le mot voice a 49 occurrence(s)
Le mot stayed a 49 occurrence(s)
Le mot loud a 49 occurrence(s)
Le mot golden a 49 occurrence(s)
Le mot lying a 49 occurrence(s)
Le mot fierce a 49 occurrence(s)
Le mot sarpedon a 49 occurrence(s)
Le mot alexandrus a 49 occurrence(s)
Le mot water a 48 occurrence(s)
Le mot hades a 47 occurrence(s)
Le mot silver a 47 occurrence(s)
Le mot valiant a 47 occurrence(s)
Le mot drink a 47 occurrence(s)
Le mot sleep a 47 occurrence(s)
Le mot alive a 47 occurrence(s)
Le mot ida a 47 occurrence(s)
Le mot lion a 47 occurrence(s)
Le mot presently a 46 occurrence(s)
Le mot draw a 46 occurrence(s)
Le mot wine a 46 occurrence(s)
Le mot tents a 46 occurrence(s)
Le mot raised a 46 occurrence(s)
Le mot caught a 46 occurrence(s)
Le mot telamon a 46 occurrence(s)
Le mot waters a 45 occurrence(s)
Le mot thetis a 45 occurrence(s)
Le mot young a 45 occurrence(s)
Le mot break a 45 occurrence(s)
Le mot send a 44 occurrence(s)
Le mot dark a 44 occurrence(s)
Le mot princes a 44 occurrence(s)
Le mot hero a 43 occurrence(s)
Le mot rest a 43 occurrence(s)
Le mot hither a 43 occurrence(s)
Le mot knees a 43 occurrence(s)
Le mot victory a 43 occurrence(s)
Le mot chariots a 43 occurrence(s)
Le mot together a 42 occurrence(s)
Le mot heroes a 42 occurrence(s)
Le mot helen a 42 occurrence(s)
Le mot cloud a 42 occurrence(s)
Le mot looked a 42 occurrence(s)
Le mot immortals a 41 occurrence(s)
Le mot nevertheless a 41 occurrence(s)
Le mot forth a 41 occurrence(s)
Le mot told a 41 occurrence(s)
Le mot horse a 41 occurrence(s)
Le mot flying a 41 occurrence(s)
Le mot prayed a 40 occurrence(s)
Le mot shoulder a 40 occurrence(s)
Le mot thereon a 40 occurrence(s)
Le mot three a 40 occurrence(s)
Le mot ill a 40 occurrence(s)
Le mot surely a 40 occurrence(s)
Le mot woman a 40 occurrence(s)
Le mot weeping a 40 occurrence(s)
Le mot forthwith a 40 occurrence(s)
Le mot light a 40 occurrence(s)
Le mot gone a 40 occurrence(s)
Le mot beat a 40 occurrence(s)
Le mot children a 40 occurrence(s)
Le mot threw a 40 occurrence(s)
Le mot phoebus a 39 occurrence(s)
Le mot things a 39 occurrence(s)
Le mot arms a 39 occurrence(s)
Le mot chest a 39 occurrence(s)
Le mot stone a 39 occurrence(s)
Le mot driven a 39 occurrence(s)
Le mot iris a 39 occurrence(s)
Le mot shouted a 39 occurrence(s)
Le mot neck a 39 occurrence(s)
Le mot panic a 39 occurrence(s)
Le mot dogs a 38 occurrence(s)
Le mot prize a 38 occurrence(s)
Le mot mountain a 38 occurrence(s)
Le mot myrmidons a 38 occurrence(s)
Le mot aegis a 38 occurrence(s)
Le mot bearing a 38 occurrence(s)
Le mot glad a 38 occurrence(s)
Le mot mortal a 38 occurrence(s)
Le mot sun a 38 occurrence(s)
Le mot vulcan a 38 occurrence(s)
Le mot flung a 38 occurrence(s)
Le mot field a 38 occurrence(s)
Le mot attack a 38 occurrence(s)
Le mot speed a 38 occurrence(s)
Le mot ransom a 37 occurrence(s)
Le mot knew a 37 occurrence(s)
Le mot deep a 37 occurrence(s)
Le mot gathered a 37 occurrence(s)
Le mot single a 37 occurrence(s)
Le mot sheep a 37 occurrence(s)
Le mot teucer a 37 occurrence(s)
Le mot vain a 36 occurrence(s)
Le mot force a 36 occurrence(s)
Le mot ere a 36 occurrence(s)
Le mot lycians a 36 occurrence(s)
Le mot trench a 36 occurrence(s)
Le mot thought a 35 occurrence(s)
Le mot immortal a 35 occurrence(s)
Le mot last a 35 occurrence(s)
Le mot sped a 35 occurrence(s)
Le mot lest a 35 occurrence(s)
Le mot steeds a 35 occurrence(s)
Le mot along a 35 occurrence(s)
Le mot rang a 34 occurrence(s)
Le mot destruction a 34 occurrence(s)
Le mot already a 34 occurrence(s)
Le mot gifts a 34 occurrence(s)
Le mot achaean a 34 occurrence(s)
Le mot twelve a 34 occurrence(s)
Le mot beneath a 34 occurrence(s)
Le mot arm a 34 occurrence(s)
Le mot spring a 34 occurrence(s)
Le mot wives a 34 occurrence(s)
Le mot moment a 34 occurrence(s)
Le mot meet a 34 occurrence(s)
Le mot wild a 34 occurrence(s)
Le mot reins a 34 occurrence(s)
Le mot tears a 33 occurrence(s)
Le mot live a 33 occurrence(s)
Le mot care a 33 occurrence(s)
Le mot began a 33 occurrence(s)
Le mot true a 33 occurrence(s)
Le mot menoetius a 33 occurrence(s)
Le mot looking a 33 occurrence(s)
Le mot aloud a 33 occurrence(s)
Le mot charge a 33 occurrence(s)
Le mot making a 33 occurrence(s)
Le mot reach a 32 occurrence(s)
Le mot argos a 32 occurrence(s)
Le mot cattle a 32 occurrence(s)
Le mot sir a 32 occurrence(s)
Le mot seat a 32 occurrence(s)
Le mot fast a 32 occurrence(s)
Le mot top a 32 occurrence(s)
Le mot filled a 32 occurrence(s)
Le mot flight a 32 occurrence(s)
Le mot ajaxes a 32 occurrence(s)
Le mot walls a 32 occurrence(s)
Le mot gleaming a 32 occurrence(s)
Le mot husband a 32 occurrence(s)
Le mot covered a 32 occurrence(s)
Le mot polydamas a 32 occurrence(s)
Le mot taking a 31 occurrence(s)
Le mot offered a 31 occurrence(s)
Le mot aimed a 31 occurrence(s)
Le mot followed a 31 occurrence(s)
Le mot dare a 31 occurrence(s)
Le mot enough a 31 occurrence(s)
Le mot matter a 31 occurrence(s)
Le mot straight a 31 occurrence(s)
Le mot knight a 31 occurrence(s)
Le mot furiously a 31 occurrence(s)
Le mot cover a 31 occurrence(s)
Le mot venus a 31 occurrence(s)
Le mot fate a 31 occurrence(s)
Le mot slew a 31 occurrence(s)
Le mot aim a 31 occurrence(s)
Le mot grief a 31 occurrence(s)
Le mot prayer a 30 occurrence(s)
Le mot rage a 30 occurrence(s)
Le mot escape a 30 occurrence(s)
Le mot evil a 30 occurrence(s)
Le mot born a 30 occurrence(s)
Le mot captain a 30 occurrence(s)
Le mot broke a 30 occurrence(s)
Le mot call a 30 occurrence(s)
Le mot lifted a 30 occurrence(s)
Le mot heavily a 30 occurrence(s)
Le mot peace a 30 occurrence(s)
Le mot low a 30 occurrence(s)
Le mot terrible a 30 occurrence(s)
Le mot hereafter a 29 occurrence(s)
Le mot word a 29 occurrence(s)
Le mot pray a 29 occurrence(s)
Le mot afraid a 29 occurrence(s)
Le mot cup a 29 occurrence(s)
Le mot bound a 29 occurrence(s)
Le mot ran a 29 occurrence(s)
Le mot allies a 29 occurrence(s)
Le mot broad a 29 occurrence(s)
Le mot shields a 29 occurrence(s)
Le mot sure a 29 occurrence(s)
Le mot triumph a 29 occurrence(s)
Le mot squire a 29 occurrence(s)
Le mot peer a 28 occurrence(s)
Le mot beyond a 28 occurrence(s)
Le mot open a 28 occurrence(s)
Le mot living a 28 occurrence(s)
Le mot carry a 28 occurrence(s)
Le mot morning a 28 occurrence(s)
Le mot always a 28 occurrence(s)
Le mot warriors a 28 occurrence(s)
Le mot stream a 28 occurrence(s)
Le mot minded a 28 occurrence(s)
Le mot defend a 28 occurrence(s)
Le mot main a 28 occurrence(s)
Le mot running a 28 occurrence(s)
Le mot lovely a 27 occurrence(s)
Le mot arrows a 27 occurrence(s)
Le mot protect a 27 occurrence(s)
Le mot name a 27 occurrence(s)
Le mot die a 27 occurrence(s)
Le mot sacrifice a 27 occurrence(s)
Le mot comes a 27 occurrence(s)
Le mot learn a 27 occurrence(s)
Le mot stronger a 27 occurrence(s)
Le mot breast a 27 occurrence(s)
Le mot hair a 27 occurrence(s)
Le mot passed a 27 occurrence(s)
Le mot beside a 27 occurrence(s)
Le mot hide a 27 occurrence(s)
Le mot pain a 27 occurrence(s)
Le mot courage a 27 occurrence(s)
Le mot carried a 27 occurrence(s)
Le mot parents a 27 occurrence(s)
Le mot soul a 26 occurrence(s)
Le mot dwell a 26 occurrence(s)
Le mot fiercely a 26 occurrence(s)
Le mot bones a 26 occurrence(s)
Le mot furious a 26 occurrence(s)
Le mot nine a 26 occurrence(s)
Le mot alike a 26 occurrence(s)
Le mot friend a 26 occurrence(s)
Le mot inside a 26 occurrence(s)
Le mot ready a 26 occurrence(s)
Le mot eat a 26 occurrence(s)
Le mot white a 26 occurrence(s)
Le mot seen a 26 occurrence(s)
Le mot council a 26 occurrence(s)
Le mot fled a 26 occurrence(s)
Le mot show a 26 occurrence(s)
Le mot combat a 26 occurrence(s)
Le mot killing a 26 occurrence(s)
Le mot pity a 26 occurrence(s)
Le mot hounds a 25 occurrence(s)
Le mot days a 25 occurrence(s)
Le mot bravest a 25 occurrence(s)
Le mot wide a 25 occurrence(s)
Le mot giving a 25 occurrence(s)
Le mot standing a 25 occurrence(s)
Le mot cruel a 25 occurrence(s)
Le mot less a 25 occurrence(s)
Le mot daughters a 25 occurrence(s)
Le mot built a 25 occurrence(s)
Le mot spoken a 25 occurrence(s)
Le mot flesh a 25 occurrence(s)
Le mot book a 24 occurrence(s)
Le mot grant a 24 occurrence(s)
Le mot shore a 24 occurrence(s)
Le mot fat a 24 occurrence(s)
Le mot mules a 24 occurrence(s)
Le mot assembly a 24 occurrence(s)
Le mot seeing a 24 occurrence(s)
Le mot sitting a 24 occurrence(s)
Le mot saved a 24 occurrence(s)
Le mot alas a 24 occurrence(s)
Le mot pieces a 24 occurrence(s)
Le mot armed a 24 occurrence(s)
Le mot proud a 24 occurrence(s)
Le mot sight a 24 occurrence(s)
Le mot tree a 24 occurrence(s)
Le mot race a 24 occurrence(s)
Le mot orders a 24 occurrence(s)
Le mot antenor a 24 occurrence(s)
Le mot yoke a 24 occurrence(s)
Le mot wrought a 24 occurrence(s)
Le mot hurled a 24 occurrence(s)
Le mot foe a 24 occurrence(s)
Le mot iron a 24 occurrence(s)
Le mot bitterly a 24 occurrence(s)
Le mot thrice a 24 occurrence(s)
Le mot sack a 23 occurrence(s)
Le mot thigh a 23 occurrence(s)
Le mot love a 23 occurrence(s)
Le mot cities a 23 occurrence(s)
Le mot warrior a 23 occurrence(s)
Le mot mountains a 23 occurrence(s)
Le mot stripped a 23 occurrence(s)
Le mot murderous a 23 occurrence(s)
Le mot shepherd a 23 occurrence(s)
Le mot else a 23 occurrence(s)
Le mot perish a 23 occurrence(s)
Le mot work a 23 occurrence(s)
Le mot cunning a 23 occurrence(s)
Le mot ten a 23 occurrence(s)
Le mot doom a 23 occurrence(s)
Le mot chieftains a 23 occurrence(s)
Le mot next a 23 occurrence(s)
Le mot country a 23 occurrence(s)
Le mot xanthus a 23 occurrence(s)
Le mot clad a 23 occurrence(s)
Le mot huge a 23 occurrence(s)
Le mot driving a 23 occurrence(s)
Le mot pierced a 23 occurrence(s)
Le mot slay a 23 occurrence(s)
Le mot smote a 22 occurrence(s)
Le mot loved a 22 occurrence(s)
Le mot hardly a 22 occurrence(s)
Le mot throughout a 22 occurrence(s)
Le mot pallas a 22 occurrence(s)
Le mot offering a 22 occurrence(s)
Le mot lived a 22 occurrence(s)
Le mot firm a 22 occurrence(s)
Le mot trying a 22 occurrence(s)
Le mot holding a 22 occurrence(s)
Le mot toil a 22 occurrence(s)
Le mot lies a 22 occurrence(s)
Le mot glaucus a 22 occurrence(s)
Le mot wealth a 22 occurrence(s)
Le mot amid a 22 occurrence(s)
Le mot limbs a 22 occurrence(s)
Le mot crowd a 22 occurrence(s)
Le mot bodies a 22 occurrence(s)
Le mot rout a 22 occurrence(s)
Le mot chase a 22 occurrence(s)
Le mot automedon a 22 occurrence(s)
Le mot deiphobus a 22 occurrence(s)
Le mot borne a 21 occurrence(s)
Le mot burning a 21 occurrence(s)
Le mot swear a 21 occurrence(s)
Le mot black a 21 occurrence(s)
Le mot gather a 21 occurrence(s)
Le mot aside a 21 occurrence(s)
Le mot hour a 21 occurrence(s)
Le mot need a 21 occurrence(s)
Le mot waves a 21 occurrence(s)
Le mot aloof a 21 occurrence(s)
Le mot oceanus a 21 occurrence(s)
Le mot deemed a 21 occurrence(s)
Le mot town a 21 occurrence(s)
Le mot hearts a 21 occurrence(s)
Le mot strip a 21 occurrence(s)
Le mot whip a 21 occurrence(s)
Le mot shame a 21 occurrence(s)
Le mot haste a 21 occurrence(s)
Le mot forest a 21 occurrence(s)
Le mot oileus a 21 occurrence(s)
Le mot lycaon a 21 occurrence(s)
Le mot skin a 21 occurrence(s)
Le mot tore a 21 occurrence(s)
Le mot whereas a 21 occurrence(s)
Le mot valour a 21 occurrence(s)
Le mot vouchsafe a 21 occurrence(s)
Le mot fresh a 21 occurrence(s)
Le mot thrown a 21 occurrence(s)
Le mot ox a 21 occurrence(s)
Le mot closed a 21 occurrence(s)
Le mot sake a 20 occurrence(s)
Le mot girl a 20 occurrence(s)
Le mot sit a 20 occurrence(s)
Le mot bidding a 20 occurrence(s)
Le mot rather a 20 occurrence(s)
Le mot hundred a 20 occurrence(s)
Le mot due a 20 occurrence(s)
Le mot sleeping a 20 occurrence(s)
Le mot mercury a 20 occurrence(s)
Le mot charioteer a 20 occurrence(s)
Le mot eager a 20 occurrence(s)
Le mot ear a 20 occurrence(s)
Le mot flames a 20 occurrence(s)
Le mot goddesses a 20 occurrence(s)
Le mot captains a 20 occurrence(s)
Le mot dwelt a 20 occurrence(s)
Le mot large a 20 occurrence(s)
Le mot aeacus a 20 occurrence(s)
Le mot air a 20 occurrence(s)
Le mot lot a 20 occurrence(s)
Le mot banks a 20 occurrence(s)
Le mot cuirass a 20 occurrence(s)
Le mot follow a 20 occurrence(s)
Le mot pyre a 20 occurrence(s)
Le mot driver a 20 occurrence(s)
Le mot course a 20 occurrence(s)
Le mot car a 20 occurrence(s)
Le mot lycia a 20 occurrence(s)
Le mot spirit a 20 occurrence(s)
Le mot world a 20 occurrence(s)
Le mot vouchsafed a 20 occurrence(s)
Le mot present a 19 occurrence(s)
Le mot offer a 19 occurrence(s)
Le mot space a 19 occurrence(s)
Le mot share a 19 occurrence(s)
Le mot since a 19 occurrence(s)
Le mot greater a 19 occurrence(s)
Le mot try a 19 occurrence(s)
Le mot twenty a 19 occurrence(s)
Le mot glorious a 19 occurrence(s)
Le mot sacked a 19 occurrence(s)
Le mot wood a 19 occurrence(s)
Le mot greatly a 19 occurrence(s)
Le mot dread a 19 occurrence(s)
Le mot bed a 19 occurrence(s)
Le mot run a 19 occurrence(s)
Le mot offerings a 19 occurrence(s)
Le mot hosts a 19 occurrence(s)
Le mot sweat a 19 occurrence(s)
Le mot youths a 19 occurrence(s)
Le mot lost a 19 occurrence(s)
Le mot paris a 19 occurrence(s)
Le mot brothers a 19 occurrence(s)
Le mot bone a 19 occurrence(s)
Le mot win a 19 occurrence(s)
Le mot boar a 19 occurrence(s)
Le mot headlong a 19 occurrence(s)
Le mot daring a 19 occurrence(s)
Le mot spoils a 19 occurrence(s)
Le mot ask a 18 occurrence(s)
Le mot broken a 18 occurrence(s)
Le mot self a 18 occurrence(s)
Le mot forget a 18 occurrence(s)
Le mot oath a 18 occurrence(s)
Le mot utterly a 18 occurrence(s)
Le mot order a 18 occurrence(s)
Le mot knows a 18 occurrence(s)
Le mot handed a 18 occurrence(s)
Le mot message a 18 occurrence(s)
Le mot likeness a 18 occurrence(s)
Le mot listen a 18 occurrence(s)
Le mot clouds a 18 occurrence(s)
Le mot darted a 18 occurrence(s)
Le mot met a 18 occurrence(s)
Le mot bird a 18 occurrence(s)
Le mot lead a 18 occurrence(s)
Le mot age a 18 occurrence(s)
Le mot easily a 18 occurrence(s)
Le mot fifty a 18 occurrence(s)
Le mot eurypylus a 18 occurrence(s)
Le mot asius a 18 occurrence(s)
Le mot idaeus a 18 occurrence(s)
Le mot guard a 18 occurrence(s)
Le mot bosom a 18 occurrence(s)
Le mot outside a 18 occurrence(s)
Le mot answer a 18 occurrence(s)
Le mot missed a 18 occurrence(s)
Le mot blow a 18 occurrence(s)
Le mot sceptre a 17 occurrence(s)
Le mot midst a 17 occurrence(s)
Le mot past a 17 occurrence(s)
Le mot keeping a 17 occurrence(s)
Le mot mankind a 17 occurrence(s)
Le mot phthia a 17 occurrence(s)
Le mot truth a 17 occurrence(s)
Le mot coward a 17 occurrence(s)
Le mot died a 17 occurrence(s)
Le mot heads a 17 occurrence(s)
Le mot dawn a 17 occurrence(s)
Le mot topmost a 17 occurrence(s)
Le mot fail a 17 occurrence(s)
Le mot talking a 17 occurrence(s)
Le mot uproar a 17 occurrence(s)
Le mot neleus a 17 occurrence(s)
Le mot shirt a 17 occurrence(s)
Le mot heavy a 17 occurrence(s)
Le mot servants a 17 occurrence(s)
Le mot wing a 17 occurrence(s)
Le mot lightning a 17 occurrence(s)
Le mot soldiers a 17 occurrence(s)
Le mot springs a 17 occurrence(s)
Le mot four a 17 occurrence(s)
Le mot talk a 17 occurrence(s)
Le mot room a 17 occurrence(s)
Le mot grasped a 17 occurrence(s)
Le mot dragging a 17 occurrence(s)
Le mot quick a 17 occurrence(s)
Le mot dismay a 17 occurrence(s)
Le mot youth a 17 occurrence(s)
