identifiant_dsp;code_postal;ville;field13;type_de_station;emplacement;nom_de_la_station;places_autolib;places_recharge_tiers;nombre_total_de_places
75118-08;75018;Paris;48.898303, 2.3423252;Station;Voirie;Paris/Fernand Labori/1;4;0;4
75118-09;75018;Paris;48.8895441, 2.3365418;Station;Voirie;Paris/Caulaincourt/71;4;0;4
75118-16;75018;Paris;48.8916426, 2.3449781;Station;Voirie;Paris/Ramey/62;4;1;5
75118-17;75018;Paris;48.8955833, 2.3457215;Station;Voirie;Paris/Duhesme/113;4;1;5
75118-18;75018;Paris;48.8913517, 2.3507171;Station;Voirie;Paris/Ordener/65;4;1;5
75118-22;75018;Paris;48.8850068, 2.3475914;Station;Voirie;Paris/Sofia/16;4;1;5
75118-27;75018;Paris;48.8861019, 2.3594071;Station;Voirie;Paris/Jean-François Lépine/1;4;0;4
75118-30;75018;Paris;48.890234, 2.359843;Station;Voirie;Paris/Ordener/1;4;0;4
75118-33;75018;Paris;48.8967147, 2.3591686;Station;Voirie;Paris/Chapelle/75;4;0;4
75118-40;75018;Paris;48.8822728, 2.3395493;Station;Voirie;Paris/Clichy/2;4;0;4
75119-07;75019;Paris;48.8829, 2.376374;Station;Voirie;Paris/Armand Carrel/46;4;0;4
75119-09;75019;Paris;48.8862071, 2.3665248;Station;Voirie;Paris/Aubervilliers/38;4;0;4
75119-15;75019;Paris;48.8886727, 2.378104;Station;Voirie;Paris/Seine/77;4;0;4
75119-17;75019;Paris;48.8817709, 2.3938462;Station;Voirie;Paris/David d'Angers/54;4;0;4
75119-20;75019;Paris;48.8893057, 2.3835673;Station;Voirie;Paris/Meurthe/1;4;1;5
75119-28;75019;Paris;48.899335, 2.371162;Station;Voirie;Paris/Porte d'Aubervilliers/10;4;0;4
75119-33;75019;Paris;48.87869, 2.409082;Station;Voirie;Paris/René Fonck/2;4;1;5
75120-04;75020;Paris;48.8624944, 2.4096676;Station;Voirie;Paris/Jean Veber/3;4;0;4
75120-08;75020;Paris;48.8699519, 2.3952568;Station;Voirie;Paris/Ménilmontant/122;4;0;4
75120-40;75020;Paris;48.8757323, 2.4060008;Station;Voirie;Paris/Gambetta/249;4;0;4
75120-42;75020;Paris;48.87559, 2.399738;Station;Voirie;Paris/Belleville/265;4;1;5
75120-44;75020;Paris;48.8657, 2.408668;Station;Voirie;Paris/Mortier/15;4;0;4
92004-14;92600;Asnières-sur-Seine;48.9094941, 2.2754817;Station;Voirie;Asnières-sur-Seine/Benoît Malon/8;6;0;6
92007-02;92220;Bagneux;48.79932, 2.304576;Station;Voirie;Bagneux/René Cros/65;6;0;6
92007-10;92220;Bagneux;48.7962, 2.319759;Station;Voirie;Bagneux/Albert Petit/89;6;0;6
92012-07;92100;Boulogne-Billancourt;48.833663, 2.258714;Station;Voirie;Boulogne-Billancourt/Abel Gance/6;6;0;6
92012-16;92100;Boulogne-Billancourt;48.82851, 2.246519;Station;Voirie;Boulogne-Billancourt/Jean Jaurès/245;6;0;6
92020-01;92320;Châtillon;48.8111362, 2.298583;Station;Voirie;Châtillon/Stalingrad/5;5;0;5
92020-03;92320;Châtillon;48.8097437, 2.2827504;Station;Voirie;Châtillon/Vanves/98;6;0;6
92023-02;92140;Clamart;48.8080853, 2.2679023;Station;Voirie;Clamart/Jean Jaurès/137;5;0;5
92023-03;92140;Clamart;48.8136037, 2.2719303;Station;Voirie;Clamart/Jean Jaurès/255;6;0;6
92023-05;92140;Clamart;48.8050223, 2.2599305;Station;Voirie;Clamart/Paul Vaillant Couturier/68;6;0;6
92023-08;92140;Clamart;48.7905884, 2.2639525;Station;Voirie;Clamart/De Gaulle/118;6;0;6
92025-02;92700;Colombes;48.9314, 2.2599;Station;Voirie;Colombes/Facel Vega/1;6;0;6
92025-03;92700;Colombes;48.93237, 2.270769;Station;Voirie;Colombes/Jules Michelet/77;6;0;6
92025-13;92700;Colombes;48.9201379, 2.2271027;Station;Voirie;Colombes/Seine/52;5;0;5
92025-16;92700;Colombes;48.92087, 2.264111;Station;Voirie;Colombes/Victor Hugo/42;6;0;6
92026-04;92400;Courbevoie;48.8983625, 2.2475158;Station;Voirie;Courbevoie/Sébastopol/4;7;0;7
92026-10;92400;Courbevoie;48.90076, 2.261656;Station;Voirie;Courbevoie/Paix/2;6;0;6
92035-03;92250;La Garenne-Colombes;48.91354, 2.25703;Station;Voirie;La Garenne-Colombes/Transvaal/3;6;0;6
92036-05;92230;Gennevilliers;48.93025, 2.301087;Station;Voirie;Gennevilliers/Camélinat/66;6;0;6
92036-12;92230;Gennevilliers;48.9226538, 2.320639;Station;Voirie;Gennevilliers/Louise Michel/36;6;0;6
92040-05;92130;Issy-les-Moulineaux;48.81855, 2.25291;Station;Voirie;Issy-les-Moulineaux/Verdun/135;6;0;6
92040-06;92130;Issy-les-Moulineaux;48.8284904, 2.2748136;Station;Voirie;Issy-les-Moulineaux/Guynemer/50;6;0;6
92040-12;92130;Issy-les-Moulineaux;48.8229419, 2.2755104;Station;Voirie;Issy-les-Moulineaux/Jean Jaurès/22;6;0;6
92040-14;92130;Issy-les-Moulineaux;48.8310957, 2.2665501;Station;Voirie;Issy-les-Moulineaux/Joseph Frantz/46;6;0;6
92040-19;92130;Issy-les-Moulineaux;48.821914, 2.252089;Station;Voirie;Issy-les-Moulineaux/Champ Chardon/44;6;0;6
92040-21;92130;Issy-les-Moulineaux;48.81961, 2.265943;Station;Voirie;Issy-les-Moulineaux/Bachaga Boualam/1;6;0;6
92044-PD;92300;Levallois-Perret;48.8970781, 2.2761987;Station;Parking;Levallois-Perret/Ernest Cognacq/33;6;0;6
92044-PK;92300;Levallois-Perret;48.89313, 2.298737;Station;Parking;Levallois-Perret/Alsace/29;6;0;6
92046-06;92240;Malakoff;48.8139, 2.302489;Station;Voirie;Malakoff/Pierre Brossolette/192;6;0;6
92046-07;92240;Malakoff;48.8242495, 2.3038947;Station;Voirie;Malakoff/Legrand/1;5;0;5
92048-07;92360;Meudon-la-Forêt;48.7886841, 2.2114032;Station;Voirie;Meudon/Jeanne Braconnier/3;6;0;6
92050-05;92000;Nanterre;48.886018, 2.215877;Station;Voirie;Nanterre/Georges Clémenceau/205;7;0;7
92050-07;92000;Nanterre;48.88807, 2.199446;Espace;Voirie;Nanterre/Gambetta/20;6;0;6
92050-10;92000;Nanterre;48.8926309, 2.2063258;Station;Voirie;Nanterre/8 mai 1945/109;6;0;6
92050-14;92000;Nanterre;48.889311, 2.220071;Station;Voirie;Nanterre/Pablo Picasso/74;6;0;6
92050-19;92000;Nanterre;48.89586, 2.216845;Station;Voirie;Nanterre/Pablo Neruda/6;6;0;6
92050-20;92000;Nanterre;48.8953323, 2.1910555;Station;Voirie;Nanterre/Jules Quentin/33;6;0;6
92050-24;92000;Nanterre;48.89184, 2.22834;Station;Voirie;Nanterre/Aimé Césaire/5;7;0;7
92050-25;92000;Nanterre;48.8854172, 2.2116588;Station;Voirie;Nanterre/Suresnes/19;6;0;6
92050-31;92000;Nanterre;48.9088989, 2.215978;Station;Voirie;Nanterre/République/326;6;0;6
92050-33;92000;Nanterre;48.8957277, 2.214156;Station;Voirie;Nanterre/Émile Zola/61;6;0;6
92062-01;92800;Puteaux;48.8807168, 2.2450631;Espace;Voirie;Puteaux/Dion Bouton/30;4;0;4
92063-09;92500;Rueil-Malmaison;48.8893048, 2.1678526;Station;Voirie;Rueil-Malmaison/Auguste Perret/4;4;0;4
92063-13;92500;Rueil-Malmaison;48.8727271, 2.1947784;Station;Voirie;Rueil-Malmaison/Bons Raisins/52;6;0;6
